user_id,visit_number,date,page_visited,time_spent,conversion_step
685,4,01/01/2024,Signup,115,None
560,2,01/01/2024,Features,114,Signup
630,5,01/01/2024,Features,52,Signup
193,2,01/01/2024,Signup,214,None
836,1,01/01/2024,Signup,126,None
764,5,01/01/2024,Features,291,Signup
708,3,01/01/2024,Features,50,Signup
360,5,01/01/2024,Features,167,Signup
10,4,01/01/2024,Homepage,131,Purchase
724,2,01/01/2024,Features,68,None
278,1,01/01/2024,Homepage,292,None
755,2,01/01/2024,Signup,232,None
805,1,01/01/2024,Signup,124,None
600,4,01/01/2024,Pricing,32,Purchase
71,2,01/01/2024,Pricing,86,None
473,3,01/01/2024,Features,61,Signup
601,3,01/01/2024,Signup,82,None
397,2,01/01/2024,Pricing,80,Signup
315,2,01/01/2024,Signup,90,Signup
706,1,01/01/2024,Homepage,193,None
487,2,01/01/2024,Homepage,263,Signup
552,1,01/01/2024,Signup,241,Signup
88,2,01/01/2024,Features,107,Signup
175,2,01/01/2024,Pricing,191,None
601,5,01/01/2024,Features,247,None
850,1,01/01/2024,Pricing,171,None
678,4,01/01/2024,Signup,35,Signup
538,3,01/01/2024,Signup,199,Purchase
846,1,02/01/2024,Features,83,None
73,2,02/01/2024,Pricing,118,Signup
778,3,02/01/2024,Homepage,138,None
917,2,02/01/2024,Features,288,None
116,4,02/01/2024,Features,231,None
977,1,02/01/2024,Pricing,289,None
756,1,02/01/2024,Features,91,Signup
710,2,02/01/2024,Pricing,222,None
848,2,02/01/2024,Features,74,None
432,1,02/01/2024,Features,128,Signup
449,2,02/01/2024,Signup,188,None
851,1,02/01/2024,Features,132,Signup
100,5,02/01/2024,Signup,207,None
985,4,02/01/2024,Signup,248,Signup
178,1,02/01/2024,Pricing,124,None
756,4,02/01/2024,Homepage,116,Signup
798,4,02/01/2024,Signup,236,None
660,5,02/01/2024,Pricing,65,Purchase
148,1,02/01/2024,Homepage,94,Signup
911,2,02/01/2024,Signup,222,None
424,2,02/01/2024,Features,268,None
289,1,02/01/2024,Pricing,90,None
