date,source_id,cost,impressions,clicks,ctr,cpc
01/01/2024,5,$227.79,7300,258,3.53%,$0.88
01/01/2024,6,$773.99,7986,416,5.21%,$1.86
02/01/2024,5,$712.03,9284,344,3.71%,$2.07
02/01/2024,6,$930.56,4451,281,6.31%,$3.31
03/01/2024,5,$672.11,7843,430,5.48%,$1.56
03/01/2024,6,$772.28,7129,470,6.59%,$1.64
04/01/2024,5,$162.98,5678,420,7.40%,$0.39
04/01/2024,6,$728.63,1433,69,4.82%,$10.56
05/01/2024,5,$146.33,6160,146,2.37%,$1.00
05/01/2024,6,$349.52,7604,361,4.75%,$0.97
06/01/2024,5,$803.39,8965,201,2.24%,$4.00
06/01/2024,6,$681.49,5951,307,5.16%,$2.22
07/01/2024,5,$663.08,7301,468,6.41%,$1.42
07/01/2024,6,$639.25,4954,148,2.99%,$4.32
08/01/2024,5,$477.45,7770,131,1.69%,$3.64
08/01/2024,6,$650.39,6178,252,4.08%,$2.58
09/01/2024,5,$691.21,7959,65,0.82%,$10.63
09/01/2024,6,$117.44,7074,328,4.64%,$0.36
10/01/2024,5,$118.60,8571,183,2.14%,$0.65
10/01/2024,6,$133.68,2299,85,3.70%,$1.57
11/01/2024,5,$756.34,1491,142,9.52%,$5.33
11/01/2024,6,$841.50,1265,271,21.42%,$3.11
12/01/2024,5,$539.90,8034,172,2.14%,$3.14
12/01/2024,6,$154.24,7451,227,3.05%,$0.68
13/01/2024,5,$113.03,5579,422,7.56%,$0.27
13/01/2024,6,$255.60,3717,318,8.56%,$0.80
14/01/2024,5,$467.81,7830,354,4.52%,$1.32
14/01/2024,6,$650.06,2656,443,16.68%,$1.47
15/01/2024,5,$296.44,2556,146,5.71%,$2.03
15/01/2024,6,$234.93,2138,129,6.03%,$1.82
16/01/2024,5,$275.52,8325,197,2.37%,$1.40
16/01/2024,6,$492.64,9764,292,2.99%,$1.69
17/01/2024,5,$389.20,4917,357,7.26%,$1.09
17/01/2024,6,$782.71,6845,156,2.28%,$5.02
18/01/2024,5,$688.80,4456,442,9.92%,$1.56
18/01/2024,6,$927.21,3061,265,8.66%,$3.50
19/01/2024,5,$925.03,6650,251,3.77%,$3.69
19/01/2024,6,$140.71,3863,111,2.87%,$1.27
20/01/2024,5,$846.03,7315,70,0.96%,$12.09
20/01/2024,6,$279.73,9234,80,0.87%,$3.50
21/01/2024,5,$203.65,4183,494,11.81%,$0.41
21/01/2024,6,$832.35,5659,329,5.81%,$2.53
22/01/2024,5,$162.67,3977,488,12.27%,$0.33
22/01/2024,6,$350.31,9249,198,2.14%,$1.77
23/01/2024,5,$618.25,2233,236,10.57%,$2.62
23/01/2024,6,$337.72,7489,129,1.72%,$2.62
24/01/2024,5,$403.85,8639,180,2.08%,$2.24
24/01/2024,6,$461.96,9025,222,2.46%,$2.08
25/01/2024,5,$913.76,1191,264,22.17%,$3.46
25/01/2024,6,$994.08,2667,188,7.05%,$5.29
26/01/2024,5,$608.90,3599,103,2.86%,$5.91
26/01/2024,6,$565.82,5588,130,2.33%,$4.35
27/01/2024,5,$306.28,1288,50,3.88%,$6.13
27/01/2024,6,$340.86,7939,355,4.47%,$0.96
28/01/2024,5,$756.05,4294,389,9.06%,$1.94
28/01/2024,6,$964.57,1844,252,13.67%,$3.83
29/01/2024,5,$295.95,4196,278,6.63%,$1.06
29/01/2024,6,$299.75,3713,462,12.44%,$0.65
30/01/2024,5,$488.87,7751,136,1.75%,$3.59
30/01/2024,6,$680.51,1864,88,4.72%,$7.73
31/01/2024,5,$359.93,4742,155,3.27%,$2.32
31/01/2024,6,$924.11,7181,182,2.53%,$5.08
01/02/2024,5,$151.18,3068,201,6.55%,$0.75
01/02/2024,6,$524.46,1518,74,4.87%,$7.09
02/02/2024,5,$188.23,7954,440,5.53%,$0.43
02/02/2024,6,$816.64,4536,159,3.51%,$5.14
03/02/2024,5,$496.56,9890,380,3.84%,$1.31
03/02/2024,6,$891.63,1071,479,44.72%,$1.86
04/02/2024,5,$478.97,5488,333,6.07%,$1.44
04/02/2024,6,$955.36,4557,344,7.55%,$2.78
05/02/2024,5,$362.22,7668,318,4.15%,$1.14
05/02/2024,6,$269.87,9615,226,2.35%,$1.19
06/02/2024,5,$208.34,9246,180,1.95%,$1.16
06/02/2024,6,$923.13,8639,343,3.97%,$2.69
07/02/2024,5,$985.00,5628,291,5.17%,$3.38
07/02/2024,6,$396.87,6299,386,6.13%,$1.03
08/02/2024,5,$855.52,3816,66,1.73%,$12.96
08/02/2024,6,$591.47,6086,132,2.17%,$4.48
09/02/2024,5,$912.99,1633,371,22.72%,$2.46
09/02/2024,6,$603.55,6203,412,6.64%,$1.46
10/02/2024,5,$200.29,5539,320,5.78%,$0.63
10/02/2024,6,$296.70,8733,175,2.00%,$1.70
11/02/2024,5,$407.53,5113,455,8.90%,$0.90
11/02/2024,6,$325.06,2923,341,11.67%,$0.95
12/02/2024,5,$358.95,7700,342,4.44%,$1.05
12/02/2024,6,$946.08,2131,93,4.36%,$10.17
13/02/2024,5,$649.38,2501,81,3.24%,$8.02
13/02/2024,6,$749.01,9361,342,3.65%,$2.19
14/02/2024,5,$711.22,4777,100,2.09%,$7.11
14/02/2024,6,$604.49,2892,306,10.58%,$1.98
15/02/2024,5,$150.12,5742,374,6.51%,$0.40
15/02/2024,6,$465.08,5433,400,7.36%,$1.16
16/02/2024,5,$562.52,7090,345,4.87%,$1.63
16/02/2024,6,$487.18,1999,200,10.01%,$2.44
17/02/2024,5,$545.40,9178,206,2.24%,$2.65
17/02/2024,6,$353.77,7979,421,5.28%,$0.84
18/02/2024,5,$241.84,4829,321,6.65%,$0.75
18/02/2024,6,$461.98,2137,202,9.45%,$2.29
19/02/2024,5,$529.80,3166,487,15.38%,$1.09
19/02/2024,6,$293.51,8077,123,1.52%,$2.39
20/02/2024,5,$840.10,7332,328,4.47%,$2.56
20/02/2024,6,$822.08,1831,478,26.11%,$1.72
21/02/2024,5,$676.37,8088,284,3.51%,$2.38
21/02/2024,6,$172.21,6730,473,7.03%,$0.36
22/02/2024,5,$269.77,7413,423,5.71%,$0.64
22/02/2024,6,$596.99,3915,73,1.86%,$8.18
23/02/2024,5,$617.40,9663,280,2.90%,$2.21
23/02/2024,6,$902.43,8608,478,5.55%,$1.89
24/02/2024,5,$577.81,6432,362,5.63%,$1.60
24/02/2024,6,$420.33,8624,440,5.10%,$0.96
25/02/2024,5,$503.25,9875,312,3.16%,$1.61
25/02/2024,6,$690.85,6830,453,6.63%,$1.53
26/02/2024,5,$266.06,1311,464,35.39%,$0.57
26/02/2024,6,$156.89,5614,291,5.18%,$0.54
27/02/2024,5,$868.27,2203,253,11.48%,$3.43
27/02/2024,6,$203.12,6850,63,0.92%,$3.22
28/02/2024,5,$232.82,6150,385,6.26%,$0.60
28/02/2024,6,$950.31,3602,227,6.30%,$4.19
29/02/2024,5,$120.27,2208,300,13.59%,$0.40
29/02/2024,6,$999.45,5851,417,7.13%,$2.40
01/03/2024,5,$838.44,4613,120,2.60%,$6.99
01/03/2024,6,$714.95,3440,459,13.34%,$1.56
02/03/2024,5,$642.38,8395,109,1.30%,$5.89
02/03/2024,6,$902.38,2843,302,10.62%,$2.99
03/03/2024,5,$516.78,4348,439,10.10%,$1.18
03/03/2024,6,$966.02,3123,96,3.07%,$10.06
04/03/2024,5,$495.75,2297,363,15.80%,$1.37
04/03/2024,6,$744.04,8186,146,1.78%,$5.10
05/03/2024,5,$586.67,4711,102,2.17%,$5.75
05/03/2024,6,$513.49,4729,345,7.30%,$1.49
06/03/2024,5,$866.52,5778,441,7.63%,$1.96
06/03/2024,6,$429.52,3114,365,11.72%,$1.18
07/03/2024,5,$974.17,5224,62,1.19%,$15.71
07/03/2024,6,$126.68,1942,339,17.46%,$0.37
08/03/2024,5,$102.99,8943,179,2.00%,$0.58
08/03/2024,6,$659.51,7727,200,2.59%,$3.30
09/03/2024,5,$692.57,7876,187,2.37%,$3.70
09/03/2024,6,$342.73,9807,173,1.76%,$1.98
10/03/2024,5,$302.38,9521,249,2.62%,$1.21
10/03/2024,6,$402.18,1100,434,39.45%,$0.93
11/03/2024,5,$392.88,2510,494,19.68%,$0.80
