date,source_id,source_type,source_name,sessions,users,pageviews,bounce_rate,avg_session_duration,conversions,form_fills,page_engagement,events,Coversion rate,Form fill rate,event conversion rate,Page engagement rate
01/01/2024,1,Owned,Blog,222,194,416,64.32%,263.340417,19,5,24,7,8.56%,2.25%,3.15%,5.77%
01/01/2024,2,Owned,Email,138,107,218,62.49%,175.194521,18,6,26,14,13.04%,4.35%,10.14%,11.93%
01/01/2024,3,Earned,Social Media,122,88,148,63.30%,246.75762,16,1,19,4,13.11%,0.82%,3.28%,12.84%
01/01/2024,4,Earned,Referrals,227,190,414,34.73%,213.581045,10,1,32,11,4.41%,0.44%,4.85%,7.73%
01/01/2024,5,Paid,Google Ads,294,247,396,59.48%,111.972085,1,1,37,6,0.34%,0.34%,2.04%,9.34%
01/01/2024,6,Paid,LinkedIn Ads,88,67,132,66.10%,167.987998,2,2,40,10,2.27%,2.27%,11.36%,30.30%
02/01/2024,1,Owned,Blog,107,96,185,38.42%,90.9423114,15,4,13,11,14.02%,3.74%,10.28%,7.03%
02/01/2024,2,Owned,Email,134,119,263,56.11%,212.41413,13,5,41,15,9.70%,3.73%,11.19%,15.59%
02/01/2024,3,Earned,Social Media,193,162,327,43.52%,221.940557,17,2,6,10,8.81%,1.04%,5.18%,1.83%
02/01/2024,4,Earned,Referrals,213,172,395,33.88%,261.106778,3,1,30,4,1.41%,0.47%,1.88%,7.59%
02/01/2024,5,Paid,Google Ads,148,126,184,48.05%,64.7970397,11,3,44,3,7.43%,2.03%,2.03%,23.91%
02/01/2024,6,Paid,LinkedIn Ads,427,339,653,32.57%,226.193309,4,5,18,19,0.94%,1.17%,4.45%,2.76%
03/01/2024,1,Owned,Blog,461,449,892,33.32%,126.652455,9,3,17,1,1.95%,0.65%,0.22%,1.91%
03/01/2024,2,Owned,Email,232,182,312,53.46%,64.8258111,9,9,3,4,3.88%,3.88%,1.72%,0.96%
03/01/2024,3,Earned,Social Media,144,132,283,39.95%,198.27776,9,3,4,13,6.25%,2.08%,9.03%,1.41%
03/01/2024,4,Earned,Referrals,367,306,688,57.98%,131.384868,14,9,17,15,3.81%,2.45%,4.09%,2.47%
03/01/2024,5,Paid,Google Ads,75,65,129,51.33%,115.327926,9,1,37,7,12.00%,1.33%,9.33%,28.68%
03/01/2024,6,Paid,LinkedIn Ads,337,302,482,54.72%,162.904488,16,7,48,2,4.75%,2.08%,0.59%,9.96%
04/01/2024,1,Owned,Blog,273,193,539,42.84%,113.103044,4,7,36,6,1.47%,2.56%,2.20%,6.68%
04/01/2024,2,Owned,Email,265,221,339,44.09%,172.619802,6,9,3,15,2.26%,3.40%,5.66%,0.88%
04/01/2024,3,Earned,Social Media,198,163,259,31.33%,295.81799,4,3,45,4,2.02%,1.52%,2.02%,17.37%
04/01/2024,4,Earned,Referrals,337,237,466,60.60%,286.589645,2,3,35,2,0.59%,0.89%,0.59%,7.51%
04/01/2024,5,Paid,Google Ads,183,139,222,61.75%,113.741925,17,9,2,18,9.29%,4.92%,9.84%,0.90%
04/01/2024,6,Paid,LinkedIn Ads,418,355,518,57.96%,298.175136,4,8,36,19,0.96%,1.91%,4.55%,6.95%
05/01/2024,1,Owned,Blog,336,310,662,52.17%,110.97372,3,6,38,13,0.89%,1.79%,3.87%,5.74%
05/01/2024,2,Owned,Email,94,86,149,39.10%,121.045556,12,7,31,18,12.77%,7.45%,19.15%,20.81%
05/01/2024,3,Earned,Social Media,248,239,491,54.71%,190.199706,15,6,10,19,6.05%,2.42%,7.66%,2.04%
05/01/2024,4,Earned,Referrals,379,334,671,48.78%,169.44351,17,5,31,4,4.49%,1.32%,1.06%,4.62%
05/01/2024,5,Paid,Google Ads,357,290,596,63.24%,210.955642,9,8,24,14,2.52%,2.24%,3.92%,4.03%
05/01/2024,6,Paid,LinkedIn Ads,364,275,714,57.50%,111.721843,1,7,29,19,0.27%,1.92%,5.22%,4.06%
06/01/2024,1,Owned,Blog,374,314,661,36.15%,235.306122,6,1,9,16,1.60%,0.27%,4.28%,1.36%
06/01/2024,2,Owned,Email,487,458,875,56.99%,126.4545,15,2,28,4,3.08%,0.41%,0.82%,3.20%
06/01/2024,3,Earned,Social Media,411,391,560,36.60%,89.9599338,19,8,2,7,4.62%,1.95%,1.70%,0.36%
06/01/2024,4,Earned,Referrals,103,95,183,31.82%,110.197687,18,7,39,8,17.48%,6.80%,7.77%,21.31%
